origin,passengers,enplanements,departures,arrivals,freight,mail,year
BED,16387,16387,577,583,116437,0,2024
KLW,16304,16224,3317,3295,100233,88883,2024
BRD,16253,16253,664,664,0,0,2024
TUP,16175,16171,769,767,2505,0,2024
OGD,15787,15507,196,197,112382,0,2024
BTM,15768,15768,696,696,0,0,2024
BFF,15459,12919,922,1004,204933,0,2024
RDB,15203,15159,813,862,653564,11252,2024
CPX,14895,14663,3453,3433,1006,6982,2024
PIR,14880,14880,872,888,94038,0,2024
INL,14799,14799,656,656,0,0,2024
ATY,14132,14132,627,633,0,0,2024
EAR,14130,14129,935,1125,400417,0,2024
VCT,14007,14006,630,631,0,0,2024
MWA,13942,13797,646,646,5106,0,2024
OPF,13936,13666,841,847,48196,0,2024
SMX,13755,13506,876,800,1007316,0,2024
PAH,13429,13429,634,631,0,0,2024
CCR,13389,13213,686,698,0,0,2024
DVL,13085,9487,660,660,0,0,2024
EKO,12881,12881,366,366,0,0,2024
GAL,12802,11852,2872,2891,637352,966036,2024
FRD,12498,12310,3057,2935,37917,0,2024
ALO,12462,11995,683,680,38420,0,2024
WST,12388,12289,3275,3250,23923,0,2024
BID,12270,11727,3266,3295,4430,0,2024
ALS,12227,12227,630,627,0,0,2024
LBL,12182,8181,554,554,0,0,2024
CVN,12031,12031,619,623,0,0,2024
CDC,11965,11803,895,909,163446,0,2024
FOD,11369,7733,624,624,0,0,2024
HIB,11294,11294,637,638,0,0,2024
TBN,11237,11237,598,594,0,0,2024
1G4,11217,11217,931,1473,0,0,2024
APN,11150,11150,856,1033,352198,0,2024
LEB,10765,10765,2159,2167,0,0,2024
ROP,10717,10717,2851,3205,420879,0,2024
BHB,10669,10669,1726,1726,0,0,2024
CNY,10612,10612,673,693,0,0,2024
TEX,10580,10580,614,613,0,0,2024
VEL,10571,10571,623,624,0,0,2024
EMK,10181,9854,6111,6114,386675,2732710,2024
DDC,10162,8300,624,624,120,0,2024
GST,10080,10053,1148,1156,26882,19246,2024
BIH,10072,10072,516,521,47460,0,2024
WYS,9565,9565,310,310,0,0,2024
MAZ,9207,9207,1456,1457,0,0,2024
ESD,9194,9194,2255,2576,76008,0,2024
CGI,9171,9171,630,632,10300,0,2024
LWB,8982,8982,616,616,108,0,2024
OWB,8831,8831,637,639,0,0,2024
UNK,8814,7030,3564,3585,1061755,3708267,2024
CEZ,8799,8799,1255,1261,0,0,2024
SHD,8717,8717,630,621,0,0,2024
TVF,8675,8675,1075,1079,2192228,0,2024
LNS,8371,8371,1469,1465,24096,0,2024
MCW,8337,6564,615,615,0,0,2024
HNS,8100,6362,1676,1666,146906,49504,2024
CEC,8028,8026,756,753,61756,0,2024
MGW,7951,7950,1744,1742,0,0,2024
BFM,7615,7615,583,591,11116939,0,2024
TEB,7518,7518,1808,1740,15901,0,2024
MSL,7373,7373,436,438,0,0,2024
SDY,7331,7331,1681,1684,490,0,2024
RKD,7282,7282,1383,1381,0,0,2024
VAK,7259,5426,2277,2281,46973,83556,2024
IWD,7090,7090,627,627,0,0,2024
MBL,6968,6968,961,962,0,0,2024
SVC,6915,6915,1245,1248,0,0,2024
PVC,6882,6882,1486,1490,0,0,2024
PKB,6857,4347,620,619,0,0,2024
KEH,6856,6856,3390,3421,84,0,2024
CXF,6800,5985,1432,1420,67919,43234,2024
FYU,6624,5492,1625,1616,133539,64407,2024
GLH,6581,6581,356,358,1038,0,2024
PDT,6579,6579,1085,1086,0,0,2024
RBH,6464,6464,1172,1176,49675,0,2024
HPB,6458,4799,2414,2419,45537,87344,2024
HHR,6298,6261,961,943,0,0,2024
OGS,6263,6263,516,517,0,0,2024
DBQ,6236,6066,101,101,0,0,2024
KWN,6212,5732,2680,2679,40711,55415,2024
SDP,6154,2835,1109,1146,1190351,839586,2024
KPN,6078,4978,2200,2203,49464,72433,2024
KSM,6072,4250,3218,3196,481029,1248312,2024
DQS,6003,6003,608,398,0,0,2024
WFB,5799,5798,2855,2804,706219,752053,2024
HNH,5723,5667,1363,1368,32847,24496,2024
LAF,5640,5640,805,807,11505,0,2024
IRK,5611,5611,622,624,0,0,2024
DUJ,5579,5570,1821,1792,0,0,2024
ANI,5526,5440,3801,3804,591591,2609760,2024
SGY,5458,4607,1273,1271,64985,50795,2024
MSS,5406,5369,1051,1048,0,0,2024
FBS,5404,5404,1893,1447,5,0,2024
GYY,5400,5400,281,278,9253712,18184,2024
AUG,5224,5224,1193,1188,0,0,2024
ORV,5199,3715,1453,1454,62237,43364,2024
TSM,5168,5118,311,315,0,0,2024
AOO,5137,5137,598,594,0,0,2024
CPS,5111,5063,127,129,9977,0,2024
SOV,5067,4309,2633,2612,5475,4005,2024
CDB,5039,3453,1640,1610,420026,835965,2024
MKC,4986,4986,117,119,243693,0,2024
KUK,4952,4029,2515,2521,19859,26644,2024
SCM,4911,3719,1548,1548,46788,71010,2024
MOU,4897,3678,1689,1689,23289,12747,2024
CYF,4872,3328,1994,1997,29899,75701,2024
SSB,4872,4872,522,520,0,0,2024
MCE,4845,4845,1221,1217,0,0,2024
SLK,4845,4838,1080,1058,0,0,2024
WTK,4766,4062,1292,1294,54553,18653,2024
AUK,4726,3428,2943,2949,37258,34813,2024
RCE,4699,4699,1164,1502,5,0,2024
AFW,4694,4682,8493,7489,357294061,0,2024
MRI,4691,4691,2643,2010,842915,41652,2024
WLK,4625,4154,1359,1358,76268,44123,2024
PHO,4537,3998,1552,1554,40845,32748,2024
AIN,4493,3416,1530,1532,78897,15720,2024
EEK,4492,2920,2180,2182,43979,67840,2024
SPB,4483,4483,520,522,0,0,2024
RUT,4481,4481,905,894,0,0,2024
KOT,4478,3069,2758,2758,27594,12167,2024
SVA,4467,3199,1184,1184,65955,91471,2024
BKC,4459,3835,1309,1309,79862,31756,2024
PQS,4417,3467,2832,2833,18142,31647,2024
NUP,4355,3331,2227,2224,18707,20828,2024
GAM,4334,2855,1123,1123,80003,51806,2024
KVL,4320,3039,1160,1160,45352,50405,2024
OOK,4302,3329,1765,1757,30564,80969,2024
BCT,4291,4244,288,281,0,0,2024
KKI,4260,3448,2099,2096,19662,13790,2024
WTL,4227,3474,2241,2242,39182,40674,2024
AIA,4206,4206,628,629,0,0,2024
IPL,4183,4183,1270,1268,602913,0,2024
IAN,4177,2555,1106,1105,57553,54450,2024
LUP,4174,4174,1344,1337,0,0,2024
KWT,4140,3585,2114,2110,17988,12614,2024
